artist,streams,rank_weighted,num_tracks,num_days
Noah Kahan,19154046.0,9733682.59341174,5,7
Bad Bunny,37567064.333333336,8853461.704893889,13,7
Don Toliver,69543688.66666667,4631105.591407839,19,7
Olivia Dean,36668615.0,4266310.156095383,10,7
Ella Langley,19196840.666666668,3492540.515266976,5,7
Djo,8005430.0,1512233.3507936508,1,7
Bruno Mars,20725040.166666668,1108758.5422621823,9,7
Harry Styles,7054444.0,630040.9040660177,2,7
sombr,13057890.0,567774.6434458864,3,7
Taylor Swift,9930412.0,487814.10486257245,3,7
Lil Uzi Vert,8703300.0,426626.19753957423,2,7
Alex Warren,6116456.0,363287.07670760615,2,7
EsDeeKid,6568866.0,236709.94672004628,2,7
Morgan Wallen,13502831.083333334,235038.0557192068,7,7
SIENNA SPIRO,7959964.0,233415.1829348168,2,7
Billie Eilish,8507992.0,226629.13155990437,3,7
RAYE,5130648.0,218510.0344618514,1,7
Zara Larsson,8802289.5,218263.9977356425,3,7
Yeat,3638210.0,217956.17930700735,1,7
Rema,3674327.3333333335,210117.22279471735,1,7
Fleetwood Mac,10745108.0,192422.46461756463,4,7
The Killers,4905588.0,180672.8365361087,1,7
Justin Bieber,6255309.0,170153.60108971674,2,7
Travis Scott,3327746.0,150107.27727032843,1,7
The Marías,7513923.0,148390.15897018404,2,7
Radiohead,7136809.0,146192.39942344133,2,7
Fetty Wap,4501918.0,117435.35214782013,2,7
Drake,9050043.333333334,115164.00703006423,5,7
Sabrina Carpenter,7858962.0,113805.52873811456,5,7
The Goo Goo Dolls,4260562.0,106720.31415406172,1,7
PinkPantheress,2536719.5,105405.29724519633,1,7
She,2485059.5,97275.29498446187,1,7
Him,2485059.5,97275.29498446187,1,7
KPop Demon Hunters Cast,2521440.6,96470.6334817638,5,7
The Neighbourhood,4111588.0,94883.14460351018,1,7
Kendrick Lamar,6776947.166666667,93172.10203365154,5,7
REI AMI,1861464.5999999999,92116.06133499884,3,7
AUDREY NUNA,1861464.5999999999,92116.06133499884,3,7
HUNTR/X,1861464.5999999999,92116.06133499884,3,7
EJAE,1861464.5999999999,92116.06133499884,3,7
Tate McRae,8172076.0,88544.16077921391,4,7
SZA,5920031.0,85698.08135151555,3,7
Arctic Monkeys,3957107.0,85274.16803705055,1,7
Zach Bryan,8941492.333333334,83284.52588799817,5,7
Coldplay,6041041.0,73823.11818775724,2,7
Daniel Caesar,6591656.666666667,73244.45749335548,4,7
Gigi Perez,3778470.0,72649.34198648809,1,7
Chappell Roan,6095143.0,69199.22694816926,2,7
Ravyn Lenae,3612944.0,62635.9076300088,1,7
Addison Rae,3557694.0,59901.00244135238,1,7
Rihanna,7749283.0,55906.407231969926,3,7
Luke Combs,3428797.0,53366.60532378941,1,7
Whiskey Myers,3453715.0,53201.28446549832,1,7
Kehlani,3400641.0,50444.924808842705,1,7
Teezo Touchdown,2094321.3333333333,49298.006041102,1,6
Benson Boone,5497276.0,48765.090696223706,2,7
sza,1426768.6666666667,47036.899927351136,1,7
Chris Stapleton,5787230.0,46631.19996533248,3,7
Tame Impala,5404111.0,45741.896253437655,2,7
Kanye West,4455849.0,42158.41122491841,3,7
Dominic Fike,3501179.0,40041.07850581126,2,7
The Police,3166683.0,39869.90520264521,1,7
SahBabii,2010570.6666666667,38815.24660571072,1,6
Frank Ocean,6724618.0,37399.07923521138,4,7
Teddy Swims,3130170.0,37013.963764071406,1,7
Malcolm Todd,5675604.0,36387.39454742754,3,7
Tears For Fears,3003372.0,33531.76895131308,1,7
Red Hot Chili Peppers,4725122.0,33236.81637781868,2,7
KATSEYE,3256464.0,32074.975903976658,2,7
J. Cole,3367185.0,31206.94090855155,3,7
Playboi Carti,2209485.3333333335,30885.448371647504,1,7
Nirvana,4886880.0,30007.268670588805,2,7
Riley Green,3214860.0,29332.186216232156,2,7
Wale,1494991.2,28286.26307964251,1,7
Roscoe Dash,1494991.2,28286.26307964251,1,7
Childish Gambino,2900540.0,28051.240353318535,1,7
The Weeknd,2928551.8666666667,25540.451508023005,4,7
Brent Faiyaz,2080298.6666666665,25171.357904441815,1,7
J Balvin,1169041.5,25128.532269307914,1,4
Prince,2805755.0,24902.573618983908,1,7
Kacey Musgraves,2091124.6666666665,24736.676913160405,1,7
Post Malone,3391967.6666666665,24423.746023398126,2,7
Tinashe,1672104.5,24338.681320531326,1,7
Disco Lines,1672104.5,24338.681320531326,1,7
Linkin Park,3502293.0,22091.509341672456,3,7
Vance Joy,2712034.0,22038.81256192689,1,7
Jeff Buckley,2707822.0,21922.635900630128,1,7
Lit,2703028.0,21652.05830140924,1,7
A Smile,1218230.6666666667,21322.693127361443,1,7
Lady Gaga,1218230.6666666667,21322.693127361443,1,7
Foo Fighters,2688118.0,21283.870733521675,1,7
Treaty Oak Revival,2685366.0,21259.02988994655,1,7
Rain Sounds,1609474.5,21125.785815494364,1,7
White Noise Radiance,1609474.5,21125.785815494364,1,7
Evanescence,2675933.0,20890.657532017383,1,7
A$AP Rocky,2126296.933333333,19065.22378892193,4,7
YoungBoy Never Broke Again,2575983.0,18599.415056960217,1,7
Dwele,1527987.0,17753.673470510294,1,7
Melanie Martinez,995115.0,17602.315267947422,1,2
Gracie Abrams,2546038.0,17312.96083174621,1,7
Shaboozey,2531248.0,17125.974570627437,1,7
Tim McGraw,808687.75,15855.170708299127,1,7
