artist,streams
Don Toliver,84288864
Bad Bunny,42658449
Olivia Dean,36668615
Bruno Mars,26457065
Ella Langley,23661691
Morgan Wallen,21667427
Noah Kahan,19154046
Kendrick Lamar,14211478
Drake,14166882
KPop Demon Hunters Cast,13927155
sombr,13057890
Tate McRae,11924016
Zara Larsson,11339009
Zach Bryan,11032617
Rema,11022982
Yeat,10914630
Fleetwood Mac,10745108
Travis Scott,9983238
Taylor Swift,9930412
SZA,9812796
HUNTR/X,9307323
REI AMI,9307323
AUDREY NUNA,9307323
EJAE,9307323
Lil Uzi Vert,8703300
Billie Eilish,8507992
EsDeeKid,8011946
Djo,8005430
SIENNA SPIRO,7959964
Daniel Caesar,7933420
Sabrina Carpenter,7858962
Rihanna,7749283
The Marías,7513923
Roscoe Dash,7474956
Wale,7474956
Radiohead,7136809
Harry Styles,7054444
Kali Uchis,6974726
Frank Ocean,6724618
Playboi Carti,6628456
The Weeknd,6612539
Teezo Touchdown,6282964
Kacey Musgraves,6273374
Justin Bieber,6255309
Brent Faiyaz,6240896
Kanye West,6159224
Chris Stapleton,6139381
Alex Warren,6116456
Chappell Roan,6095143
Coldplay,6041041
SahBabii,6031712
A$AP Rocky,5936222
Malcolm Todd,5675604
Benson Boone,5497276
Tame Impala,5404111
Post Malone,5366345
RAYE,5130648
PinkPantheress,5073439
Him,4970119
She,4970119
Fetty Wap,4936848
The Killers,4905588
Nirvana,4886880
Red Hot Chili Peppers,4725122
Andrew Choi,4619832
Danny Chung,4619832
Neckwav,4619832
KEVIN WOO,4619832
Saja Boys,4619832
samUIL Lee,4619832
Clams Casino,4324066
Imogen Heap,4324066
sza,4280306
The Goo Goo Dolls,4260562
Juicy J,4118946
Quavo,4118946
The Neighbourhood,4111588
Chris Brown,3999912
Arctic Monkeys,3957107
Gigi Perez,3778470
Waka Flocka Flame,3737478
A Smile,3654692
Lady Gaga,3654692
Ravyn Lenae,3612944
J. Cole,3596837
Addison Rae,3557694
Riley Green,3536109
Linkin Park,3502293
Dominic Fike,3501179
Whiskey Myers,3453715
Luke Combs,3428797
BigXthaPlug,3412484
Kehlani,3400641
Tinashe,3344209
Disco Lines,3344209
KATSEYE,3256464
Eric Church,3234751
HARDY,3234751
Tim McGraw,3234751
White Noise Radiance,3218949
Rain Sounds,3218949
Kyla,3189100
Wizkid,3189100
The Police,3166683
Teddy Swims,3130170
Dwele,3055974
Tears For Fears,3003372
Childish Gambino,2900540
Timbaland,2896125
Rico Ace,2886160
Mac Miller,2863781
Empire Of The Sun,2863781
Gorillaz,2806842
De La Soul,2806842
Prince,2805755
Vance Joy,2712034
Jeff Buckley,2707822
lefty gunplay,2707489
Lefty Gunplay,2707489
Lit,2703028
Foo Fighters,2688118
Treaty Oak Revival,2685366
Evanescence,2675933
Nelly Furtado,2589936
Brooks,2587942
Dunn,2587942
YoungBoy Never Broke Again,2575983
Gracie Abrams,2546038
Shaboozey,2531248
Future,2486202
Lil Wayne,2486202
WILLOW,2474606
Tyler,2466859
The Creator,2466859
Laufey,2447808
TV Girl,2440979
Hozier,2424921
Mazzy Star,2402112
Tory Lanez,2386389
Hudson Westbrook,2380266
J Balvin,2338083
Cigarettes After Sex,2309076
B.o.B,2097861
Ty Dolla $ign,2059473
JENNIE,2059452
Miguel,2052763
Dei V,2047858
Omar Courtz,2047858
H.E.R.,1984282
Rauw Alejandro,1905389
Joji,1798483
The Cure,1757391
Sublime,1704827
Chuwi,1688742
Hotel Ugly,1678978
Leon Thomas,1648570
RaiNao,1520078
Lola Young,1494525
King Von,1466130
Jay Rock,1395091
Peso Pluma,1333939
Tito Double P,1333939
Creedence Clearwater Revival,1332981
Remy Boyz,1304790
Daft Punk,1301442
Ludacris,1278914
Lil Jon,1278914
Jimin,1115187
Tyla,1080430
Lily Rose Depp,1029726
Lily-Rose Depp,1029726
ROSÉ,996831
Melanie Martinez,995115
T.I.,711070
You,704302
Tems,658188
USHER,639457
The Red Clay Strays,614503
John Summit,367410
Audioslave,352595
Syleena Johnson,350776
Ariana Grande,346814
F1 The Album,344768
The Chainsmokers,337810
Halsey,337810
Junior H,331453
Three Days Grace,330180
Dave,329094
Bryson Tiller,324222
D.O.E.,306189
Keri Hilson,306189
i wanna be a jack-o-lantern,298861
wifiskeleton,298861
Steve Lacy,293275
