artist,streams
Bad Bunny,28444495
Olivia Dean,16089965
Ella Langley,14800395
Don Toliver,12389040
sombr,10423805
Baby Keem,9137780
PinkPantheress,7882110
Fleetwood Mac,7365315
Kendrick Lamar,7089855
Taylor Swift,6815135
Dominic Fike,6655175
Bruno Mars,5901855
Morgan Wallen,5491565
Billie Eilish,4788400
The MarÃ­as,4754700
Drake,4723595
Djo,4632660
Zach Bryan,4404240
Chappell Roan,4275825
The Killers,3808150
HUNTR/X,3801080
Alex Warren,3797030
Noah Kahan,3456955
Luke Combs,3404560
RAYE,3388905
Bella Kay,3280150
SIENNA SPIRO,3232175
Radiohead,3145975
The Goo Goo Dolls,3139705
Arctic Monkeys,3137450
She & Him,3104405
Lil Uzi Vert,3038010
Brent Faiyaz,2940085
The Neighbourhood,2870040
Gigi Perez,2743210
Waka Flocka Flame,2730220
Lady Gaga,2726055
Sabrina Carpenter,2678015
Whiskey Myers,2607160
Daniel Caesar,2597325
EsDeeKid,2566850
Zara Larsson,2543275
Twenty One Pilots,2455805
Addison Rae,2421185
Ravyn Lenae,2411150
Tame Impala,2352850
White Noise Radiance,2347410
Coldplay,2344285
Kehlani,2339210
J. Cole,2327660
Malcolm Todd,2300060
BigXthaPlug,2295065
The Weeknd,2288985
Childish Gambino,2254450
J Balvin,2235305
Benson Boone,2221235
Teddy Swims,2188255
Mac Miller,2172080
Foo Fighters,2171520
Red Hot Chili Peppers,2156630
Riley Green,2133875
Frank Ocean,2124985
Fetty Wap,2123775
Kanye West,2110350
Post Malone,2100915
Gorillaz,2089745
The Police,2086255
Nelly Furtado,2080845
Disco Lines,2076135
