date,etf,latency_scenario,total_latency_us,total_latency_ms,data_resolution_ms,n_rows,n_positive_spread,pct_positive_spread,n_viable_opportunities,pct_viable_of_positive,mean_gross_$,mean_net_$,max_gross_$,total_gross_$,total_net_$,slippage_bps,mean_slippage_$,n_net_positive
20240709,SPY,Co-located (Optimistic),22.121464,0.022121464,0.105,21925185,854,0.0,0,0.0,0.002,-0.0596,0.0081,1.6884,-50.9309,0.5,0.0556,0
20240709,SPY,Co-located (Realistic),97.621464,0.097621464,0.105,21925185,854,0.0,0,0.0,0.002,-0.0596,0.0081,1.6884,-50.9309,0.5,0.0556,0
20240709,SPY,Remote (1 ms DC proximity),1605.621464,1.6056214640000002,0.105,21925185,854,0.0,0,0.0,0.002,-0.0596,0.0081,1.6884,-50.9309,0.5,0.0556,0
20240709,VOO,Co-located (Optimistic),22.121464,0.022121464,0.091,11244928,748,0.01,0,0.0,0.0038,-0.0533,0.0118,2.8367,-39.8975,0.5,0.0511,0
20240709,VOO,Co-located (Realistic),97.621464,0.097621464,0.091,11244928,748,0.01,0,0.0,0.0038,-0.0533,0.0118,2.8367,-39.8975,0.5,0.0511,0
20240709,VOO,Remote (1 ms DC proximity),1605.621464,1.6056214640000002,0.091,11244928,748,0.01,0,0.0,0.0038,-0.0533,0.0118,2.8367,-39.8975,0.5,0.0511,0
20240710,SPY,Co-located (Optimistic),22.121464,0.022121464,0.109,23899249,39387,0.16,0,0.0,0.0056,-0.0564,0.0229,221.3257,-2221.6863,0.5,0.056,0
20240710,SPY,Co-located (Realistic),97.621464,0.097621464,0.109,23899249,39387,0.16,0,0.0,0.0056,-0.0564,0.0229,221.3257,-2221.6863,0.5,0.056,0
20240710,SPY,Remote (1 ms DC proximity),1605.621464,1.6056214640000002,0.109,23899249,39387,0.16,0,0.0,0.0056,-0.0564,0.0229,221.3257,-2221.6863,0.5,0.056,0
20240716,SPY,Co-located (Optimistic),22.121464,0.022121464,0.09,18234736,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0
20240716,SPY,Co-located (Realistic),97.621464,0.097621464,0.09,18234736,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0
20240716,SPY,Remote (1 ms DC proximity),1605.621464,1.6056214640000002,0.09,18234736,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0
20240918,SPY,Co-located (Optimistic),22.121464,0.022121464,0.043,4984765,31211,0.63,30746,98.51,0.1257,0.0634,0.7205,3923.5539,1977.3674,0.5,0.0564,30713
20240918,SPY,Co-located (Realistic),97.621464,0.097621464,0.043,4984765,31211,0.63,30746,98.51,0.1257,0.0634,0.7205,3923.5539,1977.3674,0.5,0.0564,30713
20240918,SPY,Remote (1 ms DC proximity),1605.621464,1.6056214640000002,0.043,4984765,31211,0.63,30746,98.51,0.1257,0.0634,0.7205,3923.5539,1977.3674,0.5,0.0564,30713
